"state","time","bootstrap","value","L1"
"ESC",0,1,1,"E14"
"EPI",0,1,0,"E14"
"NPC",0,1,0,"E14"
"ESC",24,1,0.851851851851852,"E14"
"EPI",24,1,0.148148148148148,"E14"
"NPC",24,1,0,"E14"
"ESC",48,1,0.0263157894736842,"E14"
"EPI",48,1,0.973684210526316,"E14"
"NPC",48,1,0,"E14"
"ESC",72,1,0,"E14"
"EPI",72,1,0.923076923076923,"E14"
"NPC",72,1,0.0769230769230769,"E14"
"ESC",96,1,0,"E14"
"EPI",96,1,0,"E14"
"NPC",96,1,1,"E14"
"ESC",120,1,0,"E14"
"EPI",120,1,0.0363636363636364,"E14"
"NPC",120,1,0.963636363636364,"E14"
"ESC",168,1,0,"E14"
"EPI",168,1,0.0540540540540541,"E14"
"NPC",168,1,0.945945945945946,"E14"
"ESC",0,2,1,"E14"
"EPI",0,2,0,"E14"
"NPC",0,2,0,"E14"
"ESC",24,2,0.731707317073171,"E14"
"EPI",24,2,0.268292682926829,"E14"
"NPC",24,2,0,"E14"
"ESC",48,2,0.0612244897959184,"E14"
"EPI",48,2,0.938775510204082,"E14"
"NPC",48,2,0,"E14"
"ESC",72,2,0,"E14"
"EPI",72,2,0.829268292682927,"E14"
"NPC",72,2,0.170731707317073,"E14"
"ESC",96,2,0,"E14"
"EPI",96,2,0,"E14"
"NPC",96,2,1,"E14"
"ESC",120,2,0,"E14"
"EPI",120,2,0.0754716981132075,"E14"
"NPC",120,2,0.924528301886792,"E14"
"ESC",168,2,0,"E14"
"EPI",168,2,0,"E14"
"NPC",168,2,1,"E14"
"ESC",0,3,1,"E14"
"EPI",0,3,0,"E14"
"NPC",0,3,0,"E14"
"ESC",24,3,0.688888888888889,"E14"
"EPI",24,3,0.311111111111111,"E14"
"NPC",24,3,0,"E14"
"ESC",48,3,0.0465116279069767,"E14"
"EPI",48,3,0.953488372093023,"E14"
"NPC",48,3,0,"E14"
"ESC",72,3,0,"E14"
"EPI",72,3,0.826923076923077,"E14"
"NPC",72,3,0.173076923076923,"E14"
"ESC",96,3,0.1,"E14"
"EPI",96,3,0,"E14"
"NPC",96,3,0.9,"E14"
"ESC",120,3,0,"E14"
"EPI",120,3,0.0625,"E14"
"NPC",120,3,0.9375,"E14"
"ESC",168,3,0,"E14"
"EPI",168,3,0.0227272727272727,"E14"
"NPC",168,3,0.977272727272727,"E14"
"ESC",0,4,1,"E14"
"EPI",0,4,0,"E14"
"NPC",0,4,0,"E14"
"ESC",24,4,0.970588235294118,"E14"
"EPI",24,4,0.0294117647058824,"E14"
"NPC",24,4,0,"E14"
"ESC",48,4,0.159090909090909,"E14"
"EPI",48,4,0.840909090909091,"E14"
"NPC",48,4,0,"E14"
"ESC",72,4,0,"E14"
"EPI",72,4,1,"E14"
"NPC",72,4,0,"E14"
"ESC",96,4,0.133333333333333,"E14"
"EPI",96,4,0.0666666666666667,"E14"
"NPC",96,4,0.8,"E14"
"ESC",120,4,0,"E14"
"EPI",120,4,0.19047619047619,"E14"
"NPC",120,4,0.80952380952381,"E14"
"ESC",168,4,0,"E14"
"EPI",168,4,0.0181818181818182,"E14"
"NPC",168,4,0.981818181818182,"E14"
"ESC",0,5,1,"E14"
"EPI",0,5,0,"E14"
"NPC",0,5,0,"E14"
"ESC",24,5,0.538461538461538,"E14"
"EPI",24,5,0.461538461538462,"E14"
"NPC",24,5,0,"E14"
"ESC",48,5,0.0217391304347826,"E14"
"EPI",48,5,0.978260869565217,"E14"
"NPC",48,5,0,"E14"
"ESC",72,5,0,"E14"
"EPI",72,5,0.904761904761905,"E14"
"NPC",72,5,0.0952380952380952,"E14"
"ESC",96,5,0,"E14"
"EPI",96,5,0,"E14"
"NPC",96,5,1,"E14"
"ESC",120,5,0,"E14"
"EPI",120,5,0.0571428571428571,"E14"
"NPC",120,5,0.942857142857143,"E14"
"ESC",168,5,0,"E14"
"EPI",168,5,0.0212765957446809,"E14"
"NPC",168,5,0.978723404255319,"E14"
"ESC",0,6,1,"E14"
"EPI",0,6,0,"E14"
"NPC",0,6,0,"E14"
"ESC",24,6,0.739130434782609,"E14"
"EPI",24,6,0.260869565217391,"E14"
"NPC",24,6,0,"E14"
"ESC",48,6,0.0217391304347826,"E14"
"EPI",48,6,0.978260869565217,"E14"
"NPC",48,6,0,"E14"
"ESC",72,6,0,"E14"
"EPI",72,6,0.85,"E14"
"NPC",72,6,0.15,"E14"
"ESC",96,6,0,"E14"
"EPI",96,6,0,"E14"
"NPC",96,6,1,"E14"
"ESC",120,6,0,"E14"
"EPI",120,6,0.0476190476190476,"E14"
"NPC",120,6,0.952380952380952,"E14"
"ESC",168,6,0,"E14"
"EPI",168,6,0,"E14"
"NPC",168,6,1,"E14"
"ESC",0,7,1,"E14"
"EPI",0,7,0,"E14"
"NPC",0,7,0,"E14"
"ESC",24,7,0.555555555555556,"E14"
"EPI",24,7,0.444444444444444,"E14"
"NPC",24,7,0,"E14"
"ESC",48,7,0.08,"E14"
"EPI",48,7,0.92,"E14"
"NPC",48,7,0,"E14"
"ESC",72,7,0,"E14"
"EPI",72,7,0.9375,"E14"
"NPC",72,7,0.0625,"E14"
"ESC",96,7,0,"E14"
"EPI",96,7,0,"E14"
"NPC",96,7,1,"E14"
"ESC",120,7,0,"E14"
"EPI",120,7,0.179487179487179,"E14"
"NPC",120,7,0.82051282051282,"E14"
"ESC",168,7,0,"E14"
"EPI",168,7,0,"E14"
"NPC",168,7,1,"E14"
"ESC",0,8,1,"E14"
"EPI",0,8,0,"E14"
"NPC",0,8,0,"E14"
"ESC",24,8,0.444444444444444,"E14"
"EPI",24,8,0.555555555555556,"E14"
"NPC",24,8,0,"E14"
"ESC",48,8,0.0212765957446809,"E14"
"EPI",48,8,0.978723404255319,"E14"
"NPC",48,8,0,"E14"
"ESC",72,8,0,"E14"
"EPI",72,8,0.777777777777778,"E14"
"NPC",72,8,0.222222222222222,"E14"
"ESC",96,8,0.05,"E14"
"EPI",96,8,0,"E14"
"NPC",96,8,0.95,"E14"
